Website,Company Name,Ticker,Exchange,domain,files_in_bucket
https://www.powerstonemetals.com,PowerStone Metals Corp.,PS,CSE,powerstonemetals.com,1
https://www.powrlithium.com,POWR Lithium Corp.,POWR,CSE,powrlithium.com,0
,Prisma Exploration Inc,PMS,CSE,,0
https://www.prismometals.com,Prismo Metals Inc,PRIZ,CSE,prismometals.com,0
https://www.prospectridgeresources.com,Prospect Ridge Resources Corp.,PRR,CSE,prospectridgeresources.com,0
https://weekapaug.ca,Protium Clean Energy Corp. (formerly was GRUV/Weekapaug Lithium Limited until 2024-11-05),GRUV,CSE,weekapaug.ca,0
https://www.provenancegold.com,Provenance Gold Corp.,PAU,CSE,provenancegold.com,61
https://www.prudentminerals.com,Prudent Minerals Corp.,PRUD,CSE,prudentminerals.com,34
https://puraniumenergy.com,Puranium Energy Ltd.,UX,CSE,puraniumenergy.com,1
https://www.qmetalscorp.com,Q Precious & Battery Metals Corp.,QMET,CSE,qmetalscorp.com,23
,QNB Metals Inc.,TIM.X,CSE,,0
https://www.quantumbatterymetals.com,Quantum Battery Metals Corp,QBAT,CSE,quantumbatterymetals.com,21
https://www.quebecsilica.com,Quebec Innovative Materials Corp.,QIMC,CSE,quebecsilica.com,1
https://www.quebecnickel.com,Quebec Nickel Corp,QNI,CSE,quebecnickel.com,99
https://www.qree.ca,Quebec Rare Earth Elements Corp.,QREE,CSE,qree.ca,0
https://www.questcriticalmetals.com,Quest Critical Metals Inc.,BULL,CSE,questcriticalmetals.com,0
https://questcorpmining.ca,Questcorp Mining Inc.,QQQ,CSE,questcorpmining.ca,13
https://www.quimbayagold.com,Quimbaya Gold Inc.,QIM,CSE,quimbayagold.com,0
https://raincityresources.com,Rain City Resources Inc.,RAIN,CSE,raincityresources.com,1
https://www.redcanyonresources.com/,Red Canyon Resources Ltd.,REDC,CSE,redcanyonresources.com,47
https://www.redlakegold.ca,Red Lake Gold Inc.,RGLD,CSE,redlakegold.ca,99
https://www.redmetalresources.com,Red Metal Resources Ltd.,RMES,CSE,redmetalresources.com,97
https://refinedenergy.com,Refined Energy Corp. (formerly was RMC/Refined Metals Corp. until 2024-03-19),RUU,CSE,refinedenergy.com,88
https://reflexmaterials.com,Reflex Advanced Materials Corp.,RFLX,CSE,reflexmaterials.com,65
